Score,Non- Hispanic white,Black,Hispanic,Asian
58.5,0.52,2.15,1.00,0.73
59,0.49,2.11,0.91,0.70
59.5,0.46,2.06,0.83,0.66
60,0.43,2.02,0.74,0.62
60.5,0.43,1.93,0.75,0.59
61,0.43,1.84,0.76,0.56
61.5,0.43,1.75,0.77,0.53
62,0.43,1.65,0.77,0.49
62.5,0.43,1.56,0.78,0.46
63,0.42,1.47,0.79,0.43
63.5,0.42,1.38,0.80,0.40
64,0.42,1.29,0.81,0.36
64.5,0.42,1.19,0.81,0.33
65,0.42,1.10,0.82,0.30
65.5,0.42,1.01,0.83,0.26
66,0.42,0.92,0.84,0.23
66.5,0.42,0.83,0.85,0.20
67,0.42,0.73,0.85,0.17
67.5,0.42,0.64,0.86,0.13
68,0.41,0.55,0.87,0.10
68.5,0.41,0.46,0.88,0.07
69,0.41,0.37,0.89,0.04
69.5,0.41,0.27,0.89,0.00
70,0.41,0.18,0.90,0.00
70.5,0.40,0.21,0.87,0.00
71,0.39,0.23,0.84,0.00
71.5,0.39,0.25,0.81,0.01
72,0.38,0.28,0.78,0.02
73,0.36,0.33,0.72,0.04
73.5,0.36,0.35,0.69,0.05
74,0.35,0.37,0.66,0.06
74.5,0.34,0.40,0.63,0.08
75,0.33,0.42,0.60,0.09
75.5,0.32,0.45,0.57,0.10
76,0.32,0.47,0.54,0.11
76.5,0.31,0.49,0.51,0.12
77,0.30,0.52,0.48,0.14
78,0.28,0.57,0.42,0.16
78.5,0.28,0.59,0.38,0.17
79,0.27,0.62,0.35,0.18
79.5,0.26,0.64,0.32,0.19
80,0.25,0.66,0.29,0.21
80.5,0.25,0.69,0.28,0.20
81,0.24,0.72,0.26,0.19
81.5,0.23,0.74,0.24,0.18
82,0.22,0.77,0.23,0.17
82.5,0.22,0.80,0.21,0.16
83,0.21,0.82,0.19,0.15
83.5,0.20,0.85,0.18,0.14
84,0.20,0.88,0.16,0.14
84.5,0.19,0.90,0.14,0.13
85,0.18,0.93,0.13,0.12
85.5,0.18,0.96,0.11,0.11
86,0.17,0.98,0.09,0.10
86.5,0.16,1.01,0.08,0.09
87,0.15,1.04,0.06,0.08
87.5,0.15,1.06,0.04,0.07
88,0.14,1.09,0.03,0.06
88.5,0.13,1.12,0.01,0.05
89,0.13,1.14,0.00,0.05
89.5,0.12,1.17,0.00,0.04
90,0.11,1.20,0.00,0.03
90.5,0.12,1.10,0.00,0.06
91,0.12,1.01,0.00,0.09
91.5,0.13,0.91,0.00,0.12
92,0.14,0.82,0.00,0.15
93,0.15,0.63,0.01,0.21
93.5,0.16,0.53,0.02,0.24
94,0.16,0.44,0.02,0.27
94.5,0.17,0.34,0.03,0.30
95,0.18,0.25,0.04,0.33
95.5,0.18,0.16,0.05,0.36
96,0.19,0.06,0.06,0.39
96.5,0.19,0.00,0.06,0.42
97,0.20,0.00,0.07,0.45
97.5,0.21,0.00,0.08,0.48
98,0.21,0.00,0.09,0.51
98.5,0.22,0.00,0.10,0.54
99,0.23,0.00,0.11,0.58
99.5,0.23,0.00,0.11,0.61
100,0.24,0.00,0.12,0.64
