Score,Younger than 30,30-39,40-49,50-61,62 or older
22,35.04,33.34,25.72,17.65,8.17
22.5,35.43,33.82,26.15,17.97,8.36
23,36.02,34.40,26.65,18.37,8.60
23.5,36.60,34.96,27.13,18.73,8.79
24,37.75,35.81,27.88,19.29,9.10
24.5,38.36,36.29,28.30,19.64,9.33
25,39.14,36.93,28.83,20.06,9.66
25.5,39.70,37.35,29.18,20.35,9.83
26,40.47,37.96,29.70,20.82,10.05
26.5,41.11,38.55,30.17,21.27,10.23
27,42.04,39.32,30.92,21.86,10.55
27.5,42.54,39.81,31.34,22.27,10.75
28,43.50,40.65,32.03,22.77,11.06
28.5,44.17,41.09,32.46,23.15,11.26
29,45.22,42.03,33.32,23.83,11.67
29.5,45.89,42.50,33.72,24.22,11.92
30,46.58,43.20,34.34,24.79,12.26
30.5,47.04,43.68,34.74,25.17,12.46
31,47.92,44.54,35.46,25.78,12.81
31.5,48.46,44.96,35.84,26.17,13.04
32,49.12,45.51,36.41,26.66,13.44
32.5,49.71,46.02,36.89,27.10,13.70
33,50.41,46.68,37.43,27.61,14.01
33.5,50.90,47.17,37.91,28.06,14.31
34,51.69,47.75,38.49,28.59,14.70
34.5,52.45,48.34,38.94,29.04,14.98
35,53.48,49.13,39.72,29.76,15.49
35.5,53.84,49.44,40.01,29.99,15.69
36,54.87,50.26,40.80,30.74,16.10
36.5,55.23,50.62,41.16,31.09,16.34
37,56.17,51.46,42.06,31.98,16.86
37.5,56.76,51.75,42.39,32.27,17.07
38,57.97,52.61,43.19,32.97,17.54
38.5,58.32,52.93,43.51,33.29,17.77
39,59.33,53.59,44.19,33.88,18.26
39.5,59.63,53.87,44.46,34.11,18.39
40,60.35,54.44,45.01,34.62,18.65
40.5,60.92,54.84,45.43,35.08,18.89
41,61.72,55.42,46.04,35.72,19.23
41.5,62.16,55.68,46.34,35.98,19.40
42,63.02,56.39,47.02,36.64,19.80
42.5,63.49,56.82,47.41,37.10,20.05
43,64.21,57.42,48.05,37.77,20.47
43.5,64.67,57.79,48.48,38.24,20.70
44,65.70,58.43,49.10,38.90,21.08
44.5,66.36,58.95,49.70,39.49,21.44
45,67.04,59.38,50.21,40.01,21.80
45.5,67.60,59.89,50.77,40.57,22.24
46,68.16,60.43,51.33,41.25,22.70
46.5,68.52,60.75,51.73,41.69,22.97
47,69.40,61.42,52.45,42.45,23.67
47.5,69.80,61.69,52.80,42.80,23.98
48,70.59,62.32,53.57,43.58,24.68
48.5,71.06,62.65,53.91,44.00,24.99
49,71.59,63.07,54.35,44.42,25.43
49.5,72.25,63.50,54.77,44.84,25.87
50,73.00,64.05,55.31,45.41,26.43
50.5,73.38,64.26,55.57,45.73,26.70
51,74.28,64.84,56.04,46.27,27.06
51.5,74.98,65.23,56.45,46.63,27.30
52,75.79,65.82,57.00,47.11,27.68
52.5,76.39,66.27,57.41,47.45,27.94
53,77.14,66.86,57.94,47.94,28.37
53.5,77.94,67.32,58.40,48.43,28.66
54,78.82,67.93,58.96,49.01,29.09
54.5,79.24,68.25,59.28,49.31,29.26
55,80.22,68.85,59.92,49.90,29.68
55.5,80.74,69.24,60.24,50.26,29.90
56,81.47,69.75,60.77,50.78,30.43
56.5,81.92,70.10,61.17,51.10,30.72
57,82.78,70.69,61.76,51.66,31.09
57.5,83.31,71.05,62.07,51.98,31.31
58,84.10,71.67,62.66,52.53,31.70
58.5,84.56,72.13,63.11,52.95,31.94
59,85.30,72.69,63.73,53.51,32.37
59.5,85.77,73.09,64.14,53.94,32.72
60,86.44,73.76,64.75,54.59,33.31
60.5,86.94,74.05,65.01,54.87,33.52
61,87.61,74.54,65.47,55.27,33.90
61.5,88.12,75.01,65.94,55.75,34.31
62,88.66,75.53,66.44,56.20,34.65
62.5,89.38,76.04,66.91,56.69,35.05
63,89.81,76.56,67.36,57.17,35.59
63.5,90.36,77.09,67.95,57.74,36.11
64,90.87,77.69,68.50,58.35,36.65
64.5,91.19,77.98,68.71,58.63,36.87
65,91.75,78.54,69.21,59.18,37.38
65.5,92.07,78.89,69.53,59.52,37.70
66,92.47,79.40,70.11,60.12,38.24
66.5,92.80,79.66,70.44,60.45,38.62
67,93.00,79.97,70.76,60.75,38.87
67.5,93.48,80.59,71.43,61.43,39.62
68,93.64,80.82,71.65,61.67,39.83
68.5,93.81,81.14,71.94,61.96,40.13
69,94.33,81.77,72.55,62.59,40.87
69.5,94.55,82.26,72.99,63.03,41.18
70,94.83,82.61,73.39,63.44,41.61
70.5,95.15,82.98,73.78,63.86,42.02
71,95.37,83.25,74.10,64.27,42.35
71.5,95.53,83.53,74.40,64.63,42.63
72,95.89,84.18,75.13,65.43,43.36
73,96.25,84.83,75.89,66.30,44.40
73.5,96.35,85.18,76.24,66.66,44.85
74,96.53,85.59,76.65,67.02,45.33
74.5,96.80,86.10,77.15,67.59,46.71
75,96.95,86.37,77.56,68.05,48.31
75.5,97.30,86.75,77.95,68.50,48.82
76,97.43,87.12,78.28,69.02,49.29
76.5,97.57,87.63,78.92,69.55,49.82
77,98.21,88.43,79.74,70.65,51.30
78,98.39,89.07,80.61,71.68,52.86
78.5,98.50,89.30,80.99,72.14,53.45
79,98.58,89.60,81.43,72.80,54.58
79.5,98.66,89.90,81.85,73.29,55.15
80,98.76,90.33,82.32,73.83,55.96
80.5,98.85,90.68,82.77,74.40,57.06
81,99.01,91.40,83.70,75.61,58.40
81.5,99.11,91.72,84.12,76.14,59.04
82,99.17,91.99,84.49,76.65,59.73
82.5,99.22,92.33,84.91,77.24,60.47
83,99.28,92.65,85.38,77.83,61.21
83.5,99.31,93.01,85.90,78.49,62.49
84,99.40,93.61,86.65,79.47,63.56
84.5,99.43,93.91,87.06,79.99,64.21
85,99.47,94.14,87.48,80.55,64.86
85.5,99.52,94.64,88.26,81.68,66.35
86,99.55,94.97,88.69,82.34,67.11
86.5,99.59,95.39,89.33,83.15,67.95
87,99.62,95.61,89.69,83.62,68.54
87.5,99.65,96.01,90.43,84.57,69.67
88,99.68,96.22,90.75,85.04,70.25
88.5,99.72,96.56,91.45,85.97,71.46
89,99.75,96.74,91.81,86.49,72.13
89.5,99.80,97.07,92.56,87.59,73.58
90,99.81,97.25,92.90,88.14,74.45
90.5,99.82,97.40,93.24,88.66,75.27
91,99.83,97.48,93.46,88.98,75.81
91.5,99.85,97.69,93.79,89.53,76.62
92,99.87,97.94,94.41,90.28,77.75
93,99.88,98.29,95.07,91.22,79.71
93.5,99.89,98.51,95.48,91.88,81.77
94,99.91,98.66,95.80,92.42,83.54
94.5,99.93,98.86,96.20,93.21,86.65
95,99.94,99.04,96.66,93.98,88.74
95.5,99.94,99.11,96.87,94.38,89.48
96,99.96,99.30,97.38,95.21,91.57
96.5,99.97,99.36,97.55,95.48,92.09
97,99.98,99.50,97.98,96.14,93.50
97.5,99.98,99.65,98.49,97.03,95.60
98,100.00,99.88,99.29,98.53,98.03
98.5,100.00,99.96,99.67,99.35,99.46
99,100.00,99.99,99.93,99.83,99.89
99.5,100.00,100.00,99.98,99.96,99.98
100,100.00,100.00,100.00,100.00,100.00
