Score,Married male,Single male,Married female,Single female
57.5,0.46,0.56,0.42,0.71
58,0.44,0.49,0.39,0.63
58.5,0.43,0.41,0.36,0.55
59,0.41,0.34,0.33,0.47
59.5,0.40,0.26,0.30,0.39
60,0.38,0.19,0.27,0.31
60.5,0.37,0.21,0.26,0.34
61,0.36,0.23,0.26,0.36
61.5,0.35,0.26,0.25,0.39
62,0.34,0.28,0.24,0.41
62.5,0.34,0.30,0.24,0.44
63,0.33,0.33,0.23,0.47
63.5,0.32,0.35,0.22,0.49
64,0.31,0.37,0.22,0.52
64.5,0.30,0.40,0.21,0.54
65,0.29,0.42,0.20,0.57
65.5,0.28,0.44,0.20,0.60
66,0.27,0.46,0.19,0.62
66.5,0.27,0.49,0.18,0.65
67,0.26,0.51,0.18,0.67
67.5,0.25,0.53,0.17,0.70
68,0.24,0.56,0.16,0.73
68.5,0.23,0.58,0.16,0.75
69,0.22,0.60,0.15,0.78
69.5,0.21,0.63,0.15,0.80
70,0.20,0.65,0.14,0.83
70.5,0.20,0.65,0.15,0.79
71,0.19,0.65,0.15,0.75
71.5,0.19,0.65,0.16,0.71
72,0.19,0.64,0.17,0.67
73,0.18,0.64,0.19,0.59
73.5,0.17,0.64,0.19,0.55
74,0.17,0.64,0.20,0.51
74.5,0.17,0.64,0.21,0.47
75,0.16,0.64,0.22,0.43
75.5,0.16,0.64,0.23,0.39
76,0.15,0.64,0.23,0.35
76.5,0.15,0.64,0.24,0.31
77,0.14,0.64,0.25,0.27
78,0.14,0.63,0.27,0.19
78.5,0.13,0.63,0.27,0.15
79,0.13,0.63,0.28,0.11
79.5,0.12,0.63,0.29,0.07
80,0.12,0.63,0.30,0.03
80.5,0.12,0.60,0.29,0.04
81,0.12,0.57,0.28,0.06
81.5,0.12,0.54,0.26,0.07
82,0.12,0.51,0.25,0.08
82.5,0.12,0.49,0.24,0.09
83,0.12,0.46,0.23,0.10
83.5,0.12,0.43,0.22,0.11
84,0.12,0.40,0.21,0.12
84.5,0.12,0.37,0.20,0.13
85,0.12,0.34,0.19,0.14
85.5,0.12,0.31,0.18,0.15
86,0.12,0.28,0.16,0.16
86.5,0.12,0.25,0.15,0.17
87,0.12,0.22,0.14,0.18
87.5,0.11,0.19,0.13,0.19
88,0.11,0.17,0.12,0.21
88.5,0.11,0.14,0.11,0.22
89,0.11,0.11,0.10,0.23
89.5,0.11,0.08,0.09,0.24
90,0.11,0.05,0.08,0.25
90.5,0.12,0.05,0.08,0.27
91,0.13,0.04,0.08,0.30
91.5,0.14,0.04,0.09,0.32
92,0.15,0.03,0.09,0.35
93,0.17,0.03,0.10,0.40
93.5,0.18,0.02,0.10,0.42
94,0.19,0.02,0.10,0.45
94.5,0.20,0.01,0.11,0.47
95,0.21,0.01,0.11,0.50
95.5,0.22,0.01,0.11,0.52
96,0.23,0.00,0.12,0.55
96.5,0.24,0.00,0.12,0.57
97,0.25,0.00,0.12,0.60
97.5,0.25,0.00,0.13,0.62
98,0.26,0.00,0.13,0.65
98.5,0.27,0.00,0.13,0.67
99,0.28,0.00,0.14,0.70
99.5,0.29,0.00,0.14,0.72
100,0.30,0.00,0.14,0.75
