Score,Low,Moderate,Middle,High
41,4.16,3.35,2.72,1.60
41.5,4.13,3.29,2.64,1.56
42,4.11,3.23,2.56,1.52
42.5,4.09,3.16,2.49,1.48
43,4.06,3.10,2.41,1.44
43.5,4.04,3.03,2.33,1.40
44,4.01,2.97,2.25,1.35
44.5,3.99,2.91,2.17,1.31
45,3.97,2.84,2.09,1.27
45.5,3.94,2.78,2.01,1.23
46,3.92,2.72,1.93,1.19
46.5,3.89,2.65,1.85,1.14
47,3.87,2.59,1.77,1.10
47.5,3.85,2.53,1.69,1.06
48,3.82,2.46,1.61,1.02
48.5,3.80,2.40,1.53,0.98
49,3.77,2.33,1.45,0.94
49.5,3.75,2.27,1.37,0.89
50,3.73,2.21,1.29,0.85
50.5,3.65,2.14,1.25,0.84
51,3.58,2.07,1.21,0.82
51.5,3.50,2.00,1.17,0.80
52,3.43,1.93,1.13,0.78
52.5,3.35,1.86,1.10,0.77
53,3.28,1.79,1.06,0.75
53.5,3.20,1.72,1.02,0.73
54,3.13,1.65,0.98,0.71
54.5,3.05,1.58,0.94,0.70
55,2.98,1.51,0.90,0.68
55.5,2.90,1.44,0.86,0.66
56,2.83,1.37,0.83,0.65
56.5,2.75,1.30,0.79,0.63
57,2.68,1.23,0.75,0.61
57.5,2.60,1.16,0.71,0.59
58,2.53,1.09,0.67,0.58
58.5,2.45,1.02,0.63,0.56
59,2.38,0.95,0.59,0.54
59.5,2.30,0.88,0.56,0.52
60,2.23,0.81,0.52,0.51
60.5,2.19,0.80,0.52,0.49
61,2.15,0.79,0.51,0.48
61.5,2.11,0.78,0.51,0.47
62,2.07,0.77,0.51,0.45
62.5,2.03,0.75,0.51,0.44
63,1.99,0.74,0.51,0.42
63.5,1.95,0.73,0.51,0.41
64,1.91,0.72,0.51,0.40
64.5,1.87,0.71,0.50,0.38
65,1.83,0.70,0.50,0.37
65.5,1.79,0.69,0.50,0.36
66,1.75,0.68,0.50,0.34
66.5,1.71,0.67,0.50,0.33
67,1.67,0.66,0.50,0.32
67.5,1.63,0.65,0.50,0.30
68,1.60,0.64,0.49,0.29
68.5,1.56,0.62,0.49,0.27
69,1.52,0.61,0.49,0.26
69.5,1.48,0.60,0.49,0.25
70,1.44,0.59,0.49,0.23
70.5,1.34,0.59,0.48,0.23
71,1.24,0.58,0.47,0.22
71.5,1.14,0.57,0.46,0.22
72,1.04,0.57,0.45,0.21
73,0.84,0.55,0.43,0.20
73.5,0.74,0.55,0.42,0.19
74,0.64,0.54,0.41,0.19
74.5,0.54,0.53,0.40,0.18
75,0.44,0.53,0.39,0.18
75.5,0.34,0.52,0.38,0.17
76,0.24,0.51,0.37,0.16
76.5,0.14,0.51,0.36,0.16
77,0.04,0.50,0.35,0.15
78,0.00,0.49,0.33,0.14
78.5,0.00,0.48,0.32,0.14
79,0.00,0.47,0.31,0.13
79.5,0.00,0.47,0.30,0.12
80,0.00,0.46,0.29,0.12
80.5,0.00,0.44,0.28,0.12
81,0.00,0.42,0.27,0.12
81.5,0.00,0.40,0.27,0.12
82,0.00,0.38,0.26,0.12
82.5,0.00,0.36,0.25,0.12
83,0.00,0.34,0.25,0.11
83.5,0.00,0.32,0.24,0.11
84,0.00,0.30,0.23,0.11
84.5,0.00,0.28,0.23,0.11
85,0.00,0.26,0.22,0.11
85.5,0.00,0.24,0.21,0.11
86,0.00,0.21,0.20,0.11
86.5,0.00,0.19,0.20,0.11
87,0.00,0.17,0.19,0.11
87.5,0.00,0.15,0.18,0.11
88,0.04,0.13,0.18,0.11
88.5,0.07,0.11,0.17,0.11
89,0.11,0.09,0.16,0.10
89.5,0.15,0.07,0.16,0.10
90,0.18,0.05,0.15,0.10
90.5,0.17,0.05,0.15,0.11
91,0.15,0.04,0.15,0.12
91.5,0.13,0.04,0.16,0.13
92,0.12,0.03,0.16,0.14
93,0.08,0.03,0.16,0.16
93.5,0.06,0.02,0.16,0.17
94,0.05,0.02,0.17,0.18
94.5,0.03,0.01,0.17,0.19
95,0.01,0.01,0.17,0.19
95.5,0.00,0.01,0.17,0.20
96,0.00,0.00,0.18,0.21
96.5,0.00,0.00,0.18,0.22
97,0.00,0.00,0.18,0.23
97.5,0.00,0.00,0.18,0.24
98,0.00,0.00,0.19,0.25
98.5,0.00,0.00,0.19,0.26
99,0.00,0.00,0.19,0.27
99.5,0.00,0.00,0.19,0.28
100,0.00,0.00,0.19,0.29
