Score,Younger than 30,30-39,40-49,50-61,62 or older
95,0.01,0.00,0.14,0.10,0.32
95.5,0.00,0.00,0.14,0.09,0.34
96,0.00,0.00,0.15,0.08,0.35
96.5,0.00,0.00,0.15,0.07,0.37
97,0.00,0.00,0.16,0.07,0.39
97.5,0.00,0.00,0.16,0.06,0.41
98,0.00,0.00,0.17,0.05,0.43
98.5,0.00,0.01,0.17,0.04,0.45
99,0.00,0.01,0.18,0.03,0.47
99.5,0.00,0.01,0.18,0.02,0.49
100,0.00,0.01,0.19,0.01,0.51
