TransRisk Score,Demographic,Good,Bad
58.0,black,69.46,97.91
58.5,black,69.93,97.99
59.0,black,70.62,98.05
59.5,black,71.11,98.09
60.0,black,71.84,98.22
60.5,black,72.16,98.24
61.0,black,72.62,98.39
61.5,black,73.2,98.51
62.0,black,73.87,98.52
62.5,black,74.59,98.62
63.0,black,75.12,98.65
63.5,black,75.65,98.65
64.0,black,76.24,98.82
64.5,black,76.52,98.82
65.0,black,77.08,98.87
65.5,black,77.33,98.89
66.0,black,77.83,98.89
66.5,black,78.15,98.91
67.0,black,78.42,98.91
67.5,black,79.18,99.13
68.0,black,79.4,99.13
68.5,black,79.65,99.15
69.0,black,80.19,99.16
69.5,black,80.6,99.17
70.0,black,80.94,99.17
70.5,black,81.32,99.3
71.0,black,81.62,99.38
71.5,black,81.91,99.38
72.0,black,82.44,99.44
73.0,black,83.17,99.49
73.5,black,83.49,99.5
74.0,black,83.89,99.5
74.5,black,84.35,99.56
75.0,black,84.64,99.56
75.5,black,84.97,99.57
76.0,black,85.29,99.59
76.5,black,85.66,99.59
77.0,black,86.36,99.6
78.0,black,86.99,99.6
78.5,black,87.19,99.6
79.0,black,87.57,99.6
79.5,black,87.86,99.61
80.0,black,88.19,99.62
80.5,black,88.49,99.63
81.0,black,89.26,99.65
81.5,black,89.53,99.65
82.0,black,89.77,99.65
82.5,black,90.08,99.65
83.0,black,90.4,99.65
83.5,black,90.72,99.66
84.0,black,91.25,99.66
84.5,black,91.54,99.66
85.0,black,91.85,99.67
85.5,black,92.45,99.68
86.0,black,92.75,99.78
86.5,black,93.24,99.79
87.0,black,93.45,99.79
87.5,black,93.92,99.79
88.0,black,94.16,99.79
88.5,black,94.64,99.8
89.0,black,94.83,99.8
89.5,black,95.36,99.82
90.0,black,95.63,99.82
90.5,black,95.81,99.82
91.0,black,95.93,99.83
91.5,black,96.19,99.83
92.0,black,96.48,99.85
93.0,black,96.83,99.85
93.5,black,97.17,99.85
94.0,black,97.43,99.88
94.5,black,97.76,99.9
95.0,black,98.05,99.9
95.5,black,98.19,99.9
96.0,black,98.54,99.98
96.5,black,98.6,99.98
97.0,black,98.84,99.99
97.5,black,99.24,99.99
98.0,black,99.7,100.0
98.5,black,99.87,100.0
99.0,black,99.98,100.0
99.5,black,99.99,100.0
100.0,black,100.0,100.0
0.0,asian,0.0,0.08
0.5,asian,0.01,1.81
1.0,asian,0.19,7.69
1.5,asian,0.21,9.2
2.0,asian,0.28,10.5
2.5,asian,0.36,11.78
3.0,asian,0.49,13.41
3.5,asian,0.57,15.22
4.0,asian,0.64,16.34
4.5,asian,0.67,17.23
5.0,asian,0.79,20.65
5.5,asian,0.95,22.62
6.0,asian,1.06,25.05
6.5,asian,1.15,26.09
7.0,asian,1.28,27.32
7.5,asian,1.35,28.92
8.0,asian,1.49,30.59
8.5,asian,1.58,31.11
9.0,asian,1.68,32.02
9.5,asian,1.77,32.69
10.0,asian,1.91,33.3
10.5,asian,2.0,33.7
11.0,asian,2.13,34.98
11.5,asian,2.28,35.95
12.0,asian,2.63,38.79
12.5,asian,2.8,39.73
13.0,asian,3.07,41.24
13.5,asian,3.23,43.32
14.0,asian,3.52,45.58
14.5,asian,3.66,46.2
15.0,asian,3.96,47.07
15.5,asian,4.1,48.02
16.0,asian,4.36,49.36
16.5,asian,4.6,50.3
17.0,asian,4.88,51.01
17.5,asian,5.08,51.84
18.0,asian,5.34,52.71
18.5,asian,5.5,53.12
19.0,asian,5.82,53.61
19.5,asian,6.0,53.9
20.0,asian,6.39,56.04
20.5,asian,6.63,56.32
21.0,asian,6.99,57.6
21.5,asian,7.21,58.78
22.0,asian,7.54,59.59
22.5,asian,7.77,60.35
23.0,asian,8.11,60.98
23.5,asian,8.47,61.63
24.0,asian,9.01,62.59
24.5,asian,9.32,63.27
25.0,asian,9.79,64.75
25.5,asian,10.03,65.23
26.0,asian,10.42,66.03
26.5,asian,10.81,67.05
27.0,asian,11.41,68.28
27.5,asian,11.75,69.34
28.0,asian,12.37,70.23
28.5,asian,12.83,70.92
29.0,asian,13.63,71.64
29.5,asian,14.07,72.47
30.0,asian,14.75,73.66
30.5,asian,15.13,74.07
31.0,asian,15.91,75.48
31.5,asian,16.32,75.75
32.0,asian,16.92,76.21
32.5,asian,17.59,76.64
33.0,asian,18.11,77.4
33.5,asian,18.58,77.89
34.0,asian,19.27,78.78
34.5,asian,19.86,79.37
35.0,asian,20.69,80.01
35.5,asian,21.04,80.35
36.0,asian,22.07,81.26
36.5,asian,22.4,81.37
37.0,asian,23.61,82.07
37.5,asian,24.01,83.19
38.0,asian,25.21,84.77
38.5,asian,25.7,85.3
39.0,asian,26.82,86.22
39.5,asian,27.21,86.46
40.0,asian,28.0,87.08
40.5,asian,28.62,87.79
41.0,asian,29.47,88.21
41.5,asian,29.86,88.51
42.0,asian,30.77,88.98
42.5,asian,31.36,90.3
43.0,asian,32.13,90.69
43.5,asian,32.8,90.93
44.0,asian,33.78,91.12
44.5,asian,34.59,91.47
45.0,asian,35.35,92.01
45.5,asian,36.14,92.15
46.0,asian,36.86,92.83
46.5,asian,37.49,93.04
47.0,asian,38.63,93.48
47.5,asian,39.14,93.59
48.0,asian,40.06,93.9
48.5,asian,40.53,93.93
49.0,asian,41.06,94.02
49.5,asian,41.65,94.1
50.0,asian,42.5,94.23
50.5,asian,42.9,94.26
51.0,asian,43.93,94.33
51.5,asian,44.53,94.62
52.0,asian,45.42,94.85
52.5,asian,46.03,94.86
53.0,asian,47.09,94.92
53.5,asian,47.94,95.23
54.0,asian,48.98,95.55
54.5,asian,49.52,95.81
55.0,asian,50.5,96.24
55.5,asian,51.06,96.37
56.0,asian,51.78,96.43
56.5,asian,52.31,96.44
57.0,asian,53.26,96.6
57.5,asian,53.83,96.76
58.0,asian,54.73,96.93
58.5,asian,55.49,96.97
59.0,asian,56.39,97.05
59.5,asian,57.01,97.18
60.0,asian,58.07,97.22
60.5,asian,58.58,97.26
61.0,asian,59.17,97.51
61.5,asian,59.87,97.57
62.0,asian,60.6,97.58
62.5,asian,61.35,97.63
63.0,asian,61.96,97.66
63.5,asian,62.75,97.72
64.0,asian,63.59,98.03
64.5,asian,63.9,98.05
65.0,asian,64.57,98.22
65.5,asian,65.09,98.23
66.0,asian,65.9,98.27
66.5,asian,66.37,98.35
67.0,asian,66.73,98.35
67.5,asian,67.7,98.58
68.0,asian,68.05,98.58
68.5,asian,68.51,98.58
69.0,asian,69.24,98.62
69.5,asian,69.83,98.63
70.0,asian,70.26,98.63
70.5,asian,70.74,98.65
71.0,asian,71.16,98.69
71.5,asian,71.61,98.7
72.0,asian,72.41,98.71
73.0,asian,73.43,98.96
73.5,asian,73.77,98.98
74.0,asian,74.19,98.98
74.5,asian,74.92,99.01
75.0,asian,75.3,99.02
75.5,asian,75.72,99.03
76.0,asian,76.1,99.12
76.5,asian,76.77,99.12
77.0,asian,77.9,99.36
78.0,asian,78.96,99.41
78.5,asian,79.37,99.41
79.0,asian,79.92,99.41
79.5,asian,80.33,99.42
80.0,asian,80.91,99.42
80.5,asian,81.42,99.5
81.0,asian,82.45,99.52
81.5,asian,82.95,99.53
82.0,asian,83.34,99.53
82.5,asian,83.76,99.54
83.0,asian,84.27,99.54
83.5,asian,84.75,99.57
84.0,asian,85.59,99.6
84.5,asian,86.03,99.6
85.0,asian,86.48,99.65
85.5,asian,87.26,99.66
86.0,asian,87.76,99.67
86.5,asian,88.52,99.67
87.0,asian,89.01,99.72
87.5,asian,89.75,99.78
88.0,asian,90.15,99.78
88.5,asian,90.81,99.79
89.0,asian,91.19,99.8
89.5,asian,91.94,99.8
90.0,asian,92.33,99.8
90.5,asian,92.68,99.8
91.0,asian,92.95,99.8
91.5,asian,93.35,99.8
92.0,asian,94.05,99.82
93.0,asian,94.68,99.82
93.5,asian,95.07,99.82
94.0,asian,95.43,99.82
94.5,asian,95.85,99.84
95.0,asian,96.37,99.9
95.5,asian,96.56,99.9
96.0,asian,97.16,99.93
96.5,asian,97.35,99.93
97.0,asian,97.76,99.94
97.5,asian,98.42,99.94
98.0,asian,99.16,99.99
98.5,asian,99.65,100.0
99.0,asian,99.92,100.0
99.5,asian,99.99,100.0
100.0,asian,100.0,100.0
0.0,hispanic,0.0,0.08
0.5,hispanic,0.04,1.88
1.0,hispanic,0.45,7.85
1.5,hispanic,0.51,9.4
2.0,hispanic,0.66,11.85
2.5,hispanic,0.83,13.54
3.0,hispanic,1.09,16.31
3.5,hispanic,1.28,17.9
4.0,hispanic,1.51,19.88
4.5,hispanic,1.6,20.65
5.0,hispanic,1.87,24.28
5.5,hispanic,2.15,26.75
6.0,hispanic,2.38,29.15
6.5,hispanic,2.52,30.0
7.0,hispanic,2.82,31.51
7.5,hispanic,2.97,32.53
8.0,hispanic,3.18,34.23
8.5,hispanic,3.38,34.92
9.0,hispanic,3.57,35.65
9.5,hispanic,3.73,36.58
10.0,hispanic,3.95,37.75
10.5,hispanic,4.11,38.51
11.0,hispanic,4.26,39.47
11.5,hispanic,4.49,40.96
12.0,hispanic,4.99,43.43
12.5,hispanic,5.27,44.57
13.0,hispanic,5.72,45.58
13.5,hispanic,5.99,47.36
14.0,hispanic,6.5,49.73
14.5,hispanic,6.76,51.04
15.0,hispanic,7.21,52.21
15.5,hispanic,7.52,52.94
16.0,hispanic,7.95,53.91
16.5,hispanic,8.34,54.93
17.0,hispanic,8.82,55.93
17.5,hispanic,9.1,56.8
18.0,hispanic,9.58,57.65
18.5,hispanic,9.84,58.09
19.0,hispanic,10.23,58.69
19.5,hispanic,10.53,59.18
20.0,hispanic,11.11,61.72
20.5,hispanic,11.45,62.42
21.0,hispanic,11.92,63.58
21.5,hispanic,12.18,64.7
22.0,hispanic,12.57,65.59
22.5,hispanic,12.97,66.35
23.0,hispanic,13.62,66.92
23.5,hispanic,14.16,67.72
24.0,hispanic,15.01,69.03
24.5,hispanic,15.62,69.52
25.0,hispanic,16.39,70.73
25.5,hispanic,16.82,71.54
26.0,hispanic,17.56,72.25
26.5,hispanic,18.17,73.38
27.0,hispanic,19.12,74.39
27.5,hispanic,19.7,75.15
28.0,hispanic,20.62,76.06
28.5,hispanic,21.31,76.77
29.0,hispanic,22.36,78.23
29.5,hispanic,23.01,78.67
30.0,hispanic,23.96,79.29
30.5,hispanic,24.49,79.66
31.0,hispanic,25.5,80.48
31.5,hispanic,26.09,80.97
32.0,hispanic,26.83,81.73
32.5,hispanic,27.67,82.15
33.0,hispanic,28.49,82.61
33.5,hispanic,29.18,83.37
34.0,hispanic,30.12,84.27
34.5,hispanic,30.96,84.79
35.0,hispanic,32.08,85.48
35.5,hispanic,32.48,85.59
36.0,hispanic,33.65,86.24
36.5,hispanic,34.16,86.41
37.0,hispanic,35.64,87.19
37.5,hispanic,36.14,87.47
38.0,hispanic,37.42,88.14
38.5,hispanic,37.92,88.33
39.0,hispanic,38.95,88.97
39.5,hispanic,39.36,89.07
40.0,hispanic,40.21,89.57
40.5,hispanic,40.82,89.64
41.0,hispanic,41.81,90.41
41.5,hispanic,42.21,90.54
42.0,hispanic,43.24,90.83
42.5,hispanic,43.92,91.32
43.0,hispanic,44.83,91.48
43.5,hispanic,45.49,91.63
44.0,hispanic,46.6,92.0
44.5,hispanic,47.38,92.43
45.0,hispanic,48.24,92.74
45.5,hispanic,49.12,92.93
46.0,hispanic,50.02,93.34
46.5,hispanic,50.52,93.69
47.0,hispanic,51.65,94.26
47.5,hispanic,52.08,94.37
48.0,hispanic,52.97,94.77
48.5,hispanic,53.53,94.84
49.0,hispanic,54.08,94.94
49.5,hispanic,54.7,95.02
50.0,hispanic,55.52,95.28
50.5,hispanic,55.88,95.29
51.0,hispanic,56.7,95.38
51.5,hispanic,57.31,95.42
52.0,hispanic,58.15,95.72
52.5,hispanic,58.81,95.73
53.0,hispanic,59.65,95.88
53.5,hispanic,60.38,96.01
54.0,hispanic,61.25,96.13
54.5,hispanic,61.71,96.22
55.0,hispanic,62.73,96.57
55.5,hispanic,63.27,96.79
56.0,hispanic,63.93,96.83
56.5,hispanic,64.5,96.87
57.0,hispanic,65.37,96.96
57.5,hispanic,65.84,97.04
58.0,hispanic,66.61,97.3
58.5,hispanic,67.22,97.35
59.0,hispanic,67.91,97.56
59.5,hispanic,68.5,97.64
60.0,hispanic,69.2,97.81
60.5,hispanic,69.6,97.83
61.0,hispanic,70.23,97.94
61.5,hispanic,70.75,97.97
62.0,hispanic,71.35,97.98
62.5,hispanic,72.0,98.08
63.0,hispanic,72.45,98.12
63.5,hispanic,73.07,98.31
64.0,hispanic,73.83,98.67
64.5,hispanic,74.08,98.67
65.0,hispanic,74.67,98.69
65.5,hispanic,75.04,98.69
66.0,hispanic,75.66,98.69
66.5,hispanic,75.99,98.72
67.0,hispanic,76.37,98.75
67.5,hispanic,77.12,98.91
68.0,hispanic,77.33,98.91
68.5,hispanic,77.67,98.92
69.0,hispanic,78.3,98.93
69.5,hispanic,78.74,99.09
70.0,hispanic,79.12,99.09
70.5,hispanic,79.51,99.09
71.0,hispanic,79.81,99.12
71.5,hispanic,80.19,99.22
72.0,hispanic,80.88,99.29
73.0,hispanic,81.67,99.32
73.5,hispanic,81.99,99.33
74.0,hispanic,82.34,99.33
74.5,hispanic,82.79,99.39
75.0,hispanic,83.13,99.4
75.5,hispanic,83.53,99.41
76.0,hispanic,83.78,99.54
76.5,hispanic,84.25,99.54
77.0,hispanic,85.1,99.72
78.0,hispanic,85.8,99.74
78.5,hispanic,86.09,99.74
79.0,hispanic,86.48,99.74
79.5,hispanic,86.76,99.74
80.0,hispanic,87.2,99.75
80.5,hispanic,87.57,99.76
81.0,hispanic,88.3,99.77
81.5,hispanic,88.61,99.78
82.0,hispanic,88.9,99.78
82.5,hispanic,89.23,99.78
83.0,hispanic,89.6,99.78
83.5,hispanic,90.02,99.79
84.0,hispanic,90.59,99.81
84.5,hispanic,90.87,99.81
85.0,hispanic,91.19,99.81
85.5,hispanic,91.77,99.83
86.0,hispanic,92.09,99.83
86.5,hispanic,92.62,99.83
87.0,hispanic,92.89,99.86
87.5,hispanic,93.36,99.86
88.0,hispanic,93.61,99.86
88.5,hispanic,94.12,99.86
89.0,hispanic,94.36,99.87
89.5,hispanic,94.88,99.87
90.0,hispanic,95.19,99.87
90.5,hispanic,95.47,99.89
91.0,hispanic,95.6,99.9
91.5,hispanic,95.8,99.9
92.0,hispanic,96.24,99.91
93.0,hispanic,96.69,99.91
93.5,hispanic,96.95,99.91
94.0,hispanic,97.16,99.91
94.5,hispanic,97.5,99.92
95.0,hispanic,97.82,99.94
95.5,hispanic,98.0,99.94
96.0,hispanic,98.35,99.99
96.5,hispanic,98.47,99.99
97.0,hispanic,98.71,99.99
97.5,hispanic,99.07,99.99
98.0,hispanic,99.52,100.0
98.5,hispanic,99.81,100.0
99.0,hispanic,99.97,100.0
99.5,hispanic,99.99,100.0
100.0,hispanic,100.0,100.0
