Score,Married male,Single male,Married female,Single female
34.5,7.94,8.44,7.91,9.09
35,7.82,8.30,7.83,9.04
35.5,7.71,8.15,7.76,8.99
36,7.59,8.01,7.69,8.94
36.5,7.48,7.87,7.61,8.89
37,7.37,7.72,7.54,8.84
37.5,7.25,7.58,7.46,8.79
38,7.14,7.44,7.39,8.74
38.5,7.03,7.30,7.32,8.70
39,6.91,7.15,7.24,8.65
39.5,6.80,7.01,7.17,8.60
40,6.68,6.87,7.09,8.55
40.5,6.68,6.87,7.05,8.45
41,6.67,6.87,7.01,8.35
41.5,6.66,6.87,6.96,8.25
42,6.65,6.88,6.92,8.15
42.5,6.64,6.88,6.87,8.05
43,6.63,6.88,6.83,7.95
43.5,6.62,6.88,6.79,7.84
44,6.61,6.89,6.74,7.74
44.5,6.60,6.89,6.70,7.64
45,6.59,6.89,6.65,7.54
45.5,6.58,6.89,6.61,7.44
46,6.58,6.90,6.57,7.34
46.5,6.57,6.90,6.52,7.24
47,6.56,6.90,6.48,7.14
47.5,6.55,6.90,6.44,7.04
48,6.54,6.90,6.39,6.94
48.5,6.53,6.91,6.35,6.84
49,6.52,6.91,6.30,6.74
49.5,6.51,6.91,6.26,6.64
50,6.50,6.91,6.22,6.54
50.5,6.46,6.87,6.21,6.49
51,6.42,6.83,6.20,6.45
51.5,6.38,6.79,6.19,6.41
52,6.35,6.75,6.18,6.36
52.5,6.31,6.71,6.17,6.32
53,6.27,6.67,6.17,6.28
53.5,6.23,6.63,6.16,6.24
54,6.19,6.59,6.15,6.19
54.5,6.15,6.55,6.14,6.15
55,6.11,6.51,6.13,6.11
55.5,6.07,6.47,6.12,6.06
56,6.03,6.43,6.12,6.02
56.5,5.99,6.39,6.11,5.98
57,5.95,6.35,6.10,5.94
57.5,5.91,6.31,6.09,5.89
58,5.87,6.27,6.08,5.85
58.5,5.83,6.23,6.07,5.81
59,5.79,6.19,6.07,5.76
59.5,5.75,6.15,6.06,5.72
60,5.71,6.11,6.05,5.68
60.5,5.70,6.08,6.02,5.72
61,5.69,6.06,6.00,5.76
61.5,5.68,6.03,5.97,5.79
62,5.67,6.01,5.95,5.83
62.5,5.66,5.98,5.93,5.87
63,5.65,5.96,5.90,5.91
63.5,5.64,5.93,5.88,5.95
64,5.63,5.91,5.85,5.99
64.5,5.62,5.89,5.83,6.03
65,5.61,5.86,5.80,6.07
65.5,5.60,5.84,5.78,6.10
66,5.59,5.81,5.75,6.14
66.5,5.58,5.79,5.73,6.18
67,5.57,5.76,5.70,6.22
67.5,5.56,5.74,5.68,6.26
68,5.55,5.71,5.65,6.30
68.5,5.54,5.69,5.63,6.34
69,5.53,5.66,5.60,6.37
69.5,5.52,5.64,5.58,6.41
70,5.51,5.61,5.55,6.45
70.5,5.52,5.60,5.53,6.41
71,5.53,5.59,5.51,6.38
71.5,5.54,5.58,5.49,6.34
72,5.55,5.56,5.48,6.30
73,5.57,5.54,5.44,6.23
73.5,5.58,5.53,5.42,6.19
74,5.58,5.51,5.40,6.16
74.5,5.59,5.50,5.38,6.12
75,5.60,5.49,5.36,6.08
75.5,5.61,5.48,5.34,6.05
76,5.62,5.46,5.32,6.01
76.5,5.63,5.45,5.30,5.97
77,5.64,5.44,5.28,5.93
78,5.66,5.41,5.24,5.86
78.5,5.67,5.40,5.22,
79,5.67,5.39,5.20,5.79
79.5,5.68,5.38,5.18,5.75
80,5.69,5.37,5.16,5.71
80.5,5.67,5.35,5.16,5.68
81,5.65,5.34,5.17,5.65
81.5,5.63,5.33,5.17,5.61
82,5.61,,5.17,5.58
82.5,5.59,5.30,5.18,5.54
83,5.57,,5.18,5.51
83.5,5.55,,5.19,5.48
84,5.53,5.26,5.19,5.44
84.5,5.51,5.25,5.20,5.41
85,5.49,5.24,5.20,5.38
85.5,5.47,5.22,5.21,5.34
86,5.44,5.21,5.21,5.31
86.5,5.42,5.20,5.22,5.28
87,5.40,5.18,5.22,5.24
87.5,5.38,5.17,5.22,5.21
88,5.36,5.16,5.23,5.17
88.5,5.34,5.15,5.23,5.14
89,5.32,5.13,5.24,5.11
89.5,5.30,5.12,5.24,5.07
90,5.28,,5.25,5.04
90.5,5.29,,5.26,
91,5.30,5.12,5.26,5.05
91.5,5.30,5.13,5.27,
92,5.31,5.13,5.28,5.05
93,5.33,5.14,5.30,5.06
93.5,5.34,5.15,5.31,5.07
94,5.35,,5.32,5.07
94.5,5.35,5.16,5.33,5.07
95,5.36,5.17,5.33,
95.5,5.37,,5.34,5.08
96,5.38,5.18,5.35,
96.5,5.39,,,5.09
97,5.39,5.19,5.37,5.09
97.5,5.40,5.20,5.38,5.09
98,5.41,5.21,5.39,5.10
98.5,5.42,5.21,5.40,5.10
99,5.43,5.22,5.40,5.10
99.5,5.44,,5.41,
