Score,Non- Hispanic white,Black,Hispanic,Asian
42.5,2.19,2.79,2.71,3.12
43,2.12,2.79,2.66,2.96
43.5,2.05,2.79,2.60,2.80
44,1.98,2.80,2.55,2.64
44.5,1.91,2.80,2.49,2.48
45,1.84,2.80,2.43,2.32
45.5,1.77,2.80,2.38,2.16
46,1.70,2.81,2.32,2.00
46.5,1.63,2.81,2.27,1.84
47,1.56,2.81,2.21,1.68
47.5,1.49,2.81,2.16,1.52
48,1.42,2.82,2.10,1.37
48.5,1.35,2.82,2.04,1.21
49,1.28,2.82,1.99,1.05
49.5,1.21,2.82,1.93,0.89
50,1.14,2.83,1.88,0.73
50.5,1.11,2.72,1.83,0.72
51,1.08,2.61,1.79,0.71
51.5,1.05,2.51,1.74,0.70
52,1.02,2.40,1.70,0.69
52.5,0.99,2.30,1.66,0.68
53,0.96,2.19,1.61,0.68
53.5,0.93,2.09,1.57,0.67
54,0.90,1.98,1.52,0.66
54.5,0.87,1.88,1.48,0.65
55,0.84,1.77,1.43,0.64
55.5,0.81,1.66,1.39,0.63
56,0.78,1.56,1.35,0.62
56.5,0.74,1.45,1.30,0.61
57,0.71,1.35,1.26,0.61
57.5,0.68,1.24,1.21,0.60
58,0.65,1.14,1.17,0.59
58.5,0.62,1.03,1.12,0.58
59,0.59,0.93,1.08,0.57
59.5,0.56,0.82,1.04,0.56
60,0.53,0.71,0.99,0.55
60.5,0.52,0.76,0.97,0.54
61,0.51,0.81,0.95,0.53
61.5,0.50,0.86,0.93,0.52
62,0.49,0.91,0.90,0.50
62.5,0.48,0.96,0.88,0.49
63,0.47,1.00,0.86,0.48
63.5,0.46,1.05,0.84,0.46
64,0.45,1.10,0.81,0.45
64.5,0.44,1.15,0.79,0.44
65,0.42,1.20,0.77,0.43
65.5,0.41,1.25,0.75,0.41
66,0.40,1.29,0.73,0.40
66.5,0.39,1.34,0.70,0.39
67,0.38,1.39,0.68,0.37
67.5,0.37,1.44,0.66,0.36
68,0.36,1.49,0.64,0.35
68.5,0.35,1.53,0.61,0.34
69,0.34,1.58,0.59,0.32
69.5,0.33,1.63,0.57,0.31
70,0.32,1.68,0.55,0.30
70.5,0.31,1.60,0.53,0.30
71,0.31,1.52,0.51,0.30
71.5,0.31,1.44,0.49,0.30
72,0.30,1.35,0.48,0.29
73,0.30,1.19,0.44,0.29
73.5,0.29,1.11,0.42,0.29
74,0.29,1.03,0.41,0.29
74.5,0.29,0.95,0.39,0.29
75,0.28,0.87,0.37,0.29
75.5,0.28,0.79,0.35,0.29
76,0.28,0.71,0.34,0.29
76.5,0.27,0.63,0.32,0.29
77,0.27,0.54,0.30,0.28
78,0.26,0.38,0.27,0.28
78.5,0.26,0.30,0.25,0.28
79,0.26,0.22,0.23,0.28
79.5,0.25,0.14,0.21,0.28
80,0.25,0.06,0.20,0.28
80.5,0.24,0.08,0.19,0.27
81,0.23,0.10,0.19,0.25
81.5,0.23,0.11,0.18,0.24
82,0.22,0.13,0.18,0.23
82.5,0.21,0.15,0.17,0.22
83,0.21,0.17,0.17,0.21
83.5,0.20,0.19,0.16,0.19
84,0.19,0.21,0.15,0.18
84.5,0.19,0.23,0.15,0.17
85,0.18,0.25,0.14,0.16
85.5,0.17,0.27,0.14,0.14
86,0.16,0.29,0.13,0.13
86.5,0.16,0.30,0.13,0.12
87,0.15,0.32,0.12,0.11
87.5,0.14,0.34,0.12,0.09
88,0.14,0.36,0.11,0.08
88.5,0.13,0.38,0.11,0.07
89,0.12,0.40,0.10,0.06
89.5,0.11,0.42,0.10,0.05
90,0.11,0.44,0.09,0.03
90.5,0.11,0.43,0.10,0.04
91,0.12,0.42,0.10,0.05
91.5,0.12,0.42,0.11,0.05
92,0.13,0.41,0.11,0.06
93,0.14,0.39,0.12,0.08
93.5,0.14,0.39,0.13,0.08
94,0.15,0.38,0.13,0.09
94.5,0.15,0.37,0.14,0.10
95,0.16,0.37,0.14,0.11
95.5,0.17,0.36,0.15,0.11
96,0.17,0.35,0.15,0.12
96.5,0.18,0.34,0.16,0.13
97,0.18,0.34,0.16,0.13
97.5,0.19,0.33,0.17,0.14
98,0.19,0.32,0.17,0.15
98.5,0.20,0.32,0.18,0.16
99,0.20,0.31,0.18,0.16
99.5,0.21,0.30,0.19,0.17
100,0.21,0.29,0.19,0.18
